Area name;Specimen date;Daily lab-confirmed cases;Cumulative lab-confirmed cases;Cumulative lab-confirmed cases rate;geo_shape;geo_point_2d
England;2021-06-28;22838;4171798;7411.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-07-01;23555;4241368;7535.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-10-27;20491;829352;1473.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-29;8910;1415124;2514.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-11;24641;1141315;2027.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-03;22307;967151;1718.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-10-12;16193;570896;1014.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-10-06;14291;491427;873.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-02-01;20107;3391600;6025.6;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-01-31;13707;3371493;5989.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-01-26;24435;3278023;5823.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-10-18;11856;656779;1166.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-19;15507;1292952;2297.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-07-20;753;255258;453.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-07-01;616;244471;434.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-06-20;629;237599;422.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-06-12;940;230840;410.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-09;557;270035;479.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-03;938;265138;471.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-07-29;971;261711;465.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-06-21;550;238149;423.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-07-11;421;250023;444.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-15;14215;1215170;2158.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-09-18;4272;344122;611.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-09-16;3742;335917;596.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-09-05;2188;304997;541.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-29;1042;290769;516.6;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-27;1324;288343;512.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-22;714;282994;502.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-10-02;11577;443564;788.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-15;643;276392;491.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-17;1138;278059;494.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-07;17395;1520949;2702.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-06-07;663;225867;401.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-06-06;724;225204;400.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-05-11;3055;181858;323.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-04-13;3430;81723;145.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-04-08;4286;64650;114.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-03-18;907;4785;8.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-02-13;0;9;;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-02-02;0;2;;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-01-31;0;2;;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-01-25;27103;3253588;5780.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-01-17;26207;3027048;5377.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-01-04;69110;2493253;4429.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-04-14;2030;3831290;6806.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-04-05;2193;3810770;6770.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-03-12;4610;3722184;6612.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-03-08;5567;3702675;6578.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-02-21;6797;3618258;6428.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-02-14;7531;3552485;6311.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-03-06;3698;3693579;6562.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-12;16035;1609535;2859.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-11;19877;1593500;2831.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-20;28940;1828504;3248.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-05-04;2240;3868851;6873.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-06-20;7995;4051489;7197.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-04-22;1995;3847426;6835.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-04-20;2034;3843164;6827.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-04-19;2367;3841130;6824.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-04-17;1357;3836454;6815.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-04-15;1923;3833213;6810.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-04-03;1994;3806654;6762.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-03-29;3187;3793622;6739.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-03-25;4441;3779800;6715.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-02-24;7290;3643541;6473.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-20;1219;281274;499.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-12;1095;273691;486.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-16;529;276921;492.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-08;636;269478;478.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-07-25;492;258637;459.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-07-14;650;251714;447.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-07-12;352;250375;444.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-06-18;942;236154;419.6;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-06-17;909;235212;417.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-09-01;1929;294935;524.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-31;1260;293006;520.6;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-09-25;6036;381185;677.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-09-23;5885;368858;655.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-09-21;4696;357617;635.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-09-12;2209;324530;576.6;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-09-06;2058;307055;545.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-23;696;283690;504.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-08-24;1132;284822;506.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-06-01;1312;219730;390.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-04-29;4726;146186;259.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-05-12;2921;184779;328.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-05-10;2003;178803;317.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-04-14;3540;85263;151.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-04-01;4123;36823;65.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-04-02;4066;40889;72.6;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-05-02;2739;157316;279.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-03-31;3784;32700;58.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-14;29517;1657178;2944.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-13;18126;1627661;2891.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-23;37623;1949619;3463.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-26;36702;2027695;3602.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-18;31832;1777827;3158.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-02-09;12242;3503589;6224.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-02-06;10582;3467375;6160.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-01-28;21844;3323104;5903.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-01-16;27656;3000841;5331.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-02-10;11838;3515427;6245.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-30;15026;1430150;2540.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-24;14026;1358524;2413.6;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-22;10037;1328289;2359.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-06;20821;1029538;1829.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-12-03;12531;1469665;2611.0;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-10-30;19647;889207;1579.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-10-07;15194;506621;900.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-10-24;13517;772945;1373.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-11-13;21647;1184914;2105.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-03-08;50;429;0.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-03-02;38;103;0.2;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-02-26;4;22;;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-02-16;0;9;;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2020-02-09;1;8;;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
